"category_id","name","parent_category_id"
46,"Kids Wear",NULL
47,"Boys Clothing",46
48,"T-Shirts",47
49,"Shirts",47
50,"Shorts",47
51,"Jeans",47
52,"Trousers",47
53,"Clothing Sets",47
54,"Ethnic Wear",47
55,"Track Pants & Pyjamas",47
56,"Jackets,Sweater & Sweatshirts",47
57,"Innerwear & Sleepwear",47
58,"Girls Clothing",46
59,"Dresses",58
60,"Tops",58
61,"T-Shirts",58
62,"Clothing Sets",58
63,"Ethnic Wear",58
64,"Dungarees & Jumpsuits",58
65,"Skirts & Shorts",58
66,"Tights & Legging",58
67,"Jeans,Trousers & Capris",58
68,"Jackets,Sweater & Sweatshirts",58
69,"Innerwear & Sleepwear",58
70,"Boys Footwear",46
71,"Casual Shoes",70
72,"Sports Shoes",70
73,"Sandals",70
74,"Flip Flops",70
75,"School Shoes",70
76,"Girls Footwear",46
77,"Flats",76
78,"Casual Shoes",76
79,"Sports Shoes",76
80,"Sandals",76
81,"Flip Flops",76
82,"School Shoes",76
83,"Heels",76
84,"Infants",46
85,"Rompers & Onesies",84
86,"Clothing Sets",84
87,"T-Shirts & Tops",84
88,"Dresses",84
89,"Bottom wear",84
90,"Winter Wear",84
91,"Inner wear & Sleepwear",84
92,"Infants Accessories",84
93,"Kids Accessories",46
94,"Bags & Backpacks",93
95,"Watches",93
96,"Jewellery & Hair Accessories",93
97,"Eyewear",93
98,"Others",46
99,"Home Bath",98
100,"Men's Wear",NULL
1,"Home Appliances",NULL
2,"Bed Linen & Furnishing",1
3,"Bedsheet",2
4,"Bedding Sets",2
5,"Blanket, Quilt and Dohars",2
6,"Pillow & Pillow Covers",2
7,"Bed Covers",2
8,"Flooring",1
9,"Floor Mats & Dhurries",8
10,"Door Mats",8
11,"Bath",1
12,"Bath Towel",11
13,"Hand and Face Towel",11
14,"Beach Towel",11
15,"Towel Sets",11
16,"Bath Rugs",11
17,"Bath Robes",11
18,"Bathroom Accessories",11
19,"Lamp and Lightings",1
20,"Floor Lamp",19
21,"Tabel Lamp",19
22,"Wall Lamp",19
23,"Home Decor",1
24,"Plants and Planters",23
25,"Aromas and Candles",23
26,"Clocks",23
27,"Mirrors",23
28,"Wall D̩cor",23
29,"Wall Shelves",23
30,"Fountain",23
31,"Showpieces and Vases",23
32,"Cushions & Cushion Covers",1
101,"Top Wear",100
102,"T-Shirts",101
103,"Casual Shirts",101
104,"Formal Shirts",101
106,"Sweaters",101
107,"Jackets",101
105,"Sweatshirts",101
117,"Ethnicwear",100
118,"Kurta & Kurta Sets",117
119,"Sherwanis",117
120,"Nehru Jackets",117
121,"Dhotis",117
122,"Sports & Active Wear",100
123,"Sports Shoes",122
124,"Sports Sandals",122
125,"Active T-Shirts",122
126,"Trackpants & Shorts",122
127,"Tracksuits",122
128,"Jackets & Sweatshirts",122
129,"Sports Accessories",122
130,"Swimwear",122
131,"Footwear",100
132,"Casual Shoes",131
133,"Sports Shoes",131
134,"Formal Shoes",131
135,"Sneakers",131
136,"Sandals & Floaters",131
137,"Flip Flops",131
138,"Socks",131
139,"Innerwear & Sleepwear",100
140,"Briefs & Trunks",139
141,"Boxers",139
142,"Vests",139
143,"Sleepwear & Loungewear",139
144,"Thermals",139
145,"Fashion Accessories",100
146,"Wallets",145
147,"Belts",145
148,"Perfumes & Body Mists",145
149,"Trimmers",145
150,"Deodorants",145
151,"Ties,Cufflinks & Pocket Squares",145
152,"Accessory Gift Packs",145
153,"Caps & Hats",145
154,"Mufflers, Scarves & Gloves",145
155,"Phone Cases",145
156,"Rings & Wristwear",145
157,"Helmets",145
158,"Gadjets",100
159,"Smart Wearables",158
160,"Fitness Gadjets",158
161,"Headphones",158
162,"Speakers",158
163,"Others",100
164,"Personal Care & Grooming",163
165,"Sunglasses & Frames",163
166,"Watches",163
167,"Bags & Backpacks",163
168,"Luggages & Trolleys",163
169,"Plus Size",163
170,"Women's Wear",NULL
171,"Indian & fusion wear",170
172,"Indian & Fusion wear",171
173,"Kurtis",171
174,"Suits",171
175,"Tunics & tops",171
176,"Ethnic dresses/Dresses ",171
177,"Leggings",171
178,"Salwar & Chudidar",171
179,"Skirts",171
180,"Pallazos",171
181,"Sarees",171
108,"Suits",101
109,"Blazers & Coats",101
110,"Rain Jackets",101
111,"Bottom Wear",100
112,"Jeans",111
113,"Casual Trousers",111
114,"Formal Trousers",111
182,"Dress material",171
183,"Lehenga",171
184,"Duppatta",171
185,"Shawl",171
204,"Sports & Active Wear",170
205,"Clothing",204
206,"Footwear",204
207,"Sports Accessories",204
208,"Sports Equipment",204
209,"Lingerie & Sleepwear",170
210,"Bra & Lingerie Sets",209
211,"Briefs",209
212,"Shapewear",209
213,"Sleepwear & Loungewear",209
214,"Swimwear",209
215,"Camisoles & Thermals",209
216,"Beauty & Personal Care",170
217,"Makeup",216
218,"Skincare",216
219,"Premium Beauty",216
220,"Lipsticks",216
221,"Fragrances",216
222,"Jewellery",170
223,"Fashion Jewellery",222
224,"Fine Jewellery",222
225,"Earrings",222
226,"Gadjets",170
227,"Smart Wearables",226
228,"Fitness Gadjets",226
229,"Headphones",226
230,"Speakers",226
231,"Others",170
232,"Belts,Scarves & More",231
233,"Sunglasses & Frames",231
234,"Watches & Wearables",231
235,"Backpacks",231
236,"Handbags, Bags & Wallets",231
237,"Luggages & Trolleys",231
238,"Plus Size",231
115,"Shorts",111
186,"Jackets & waist coat",171
187,"Jackets & waist coat",171
188,"Western wear",170
189,"Dresses",188
190,"Jumpsuit",188
191,"Tops,Shirts & T-Shirts",188
192,"Blazers & Waistcoats",188
193,"Trousers & Capris",188
194,"Shorts & Skirts",188
195,"Shrugs",188
196,"Sweaters & Sweatshirts",188
197,"Jackets & Coats",188
198,"Footwear",170
199,"Flats",198
200,"Casual Shoes",198
201,"Heels",198
202,"Boots",198
203,"Sports Shoes & Floaters",198
33,"Cushions & Cushion Covers",32
34,"Curtains",1
35,"Curtains",34
36,"Kitchen and Table",1
37,"Dinnerware & Serveware",36
38,"Cups & Mugs",36
39,"Bakeware & Cookware",36
40,"Kitchen Storage & Tools",36
41,"Bar & Drinkware",36
42,"Table Cover & Furnishing",36
43,"Storage",1
44,"Organizers",43
45,"Hook and Holders",43
116,"Trackpants & Joggers",111
